,AAPL,FB,NVDA,PYPL,SHOP,SQ,TDOC,TSLA,TWTR,Z
,close,close,close,close,close,close,close,close,close,close
Date,,,,,,,,,,
2020-06-23,91.63249969482422,242.24000549316406,378.0,172.7899932861328,911.3400268554688,104.75,198.0800018310547,200.3560028076172,32.90999984741211,63.11000061035156
2020-06-24,90.01499938964844,234.02000427246094,369.4200134277344,168.0,897.0,100.87999725341797,197.00999450683594,192.1699981689453,31.729999542236328,59.29999923706055
2020-06-25,91.20999908447266,235.67999267578125,379.6000061035156,172.5,916.3200073242188,104.77999877929688,201.6999969482422,197.1959991455078,31.3700008392334,59.08000183105469
2020-06-26,88.40750122070312,216.0800018310547,366.20001220703125,170.8699951171875,910.0,104.30000305175781,193.25999450683594,191.947998046875,29.049999237060547,55.59000015258789
2020-06-29,90.44499969482422,220.63999938964844,368.0,168.35000610351562,922.4199829101562,103.68000030517578,187.35000610351562,201.8699951171875,29.489999771118164,57.119998931884766
2020-06-30,91.19999694824219,227.07000732421875,379.9100036621094,174.22999572753906,949.2000122070312,104.94000244140625,190.83999633789062,215.96200561523438,29.790000915527344,57.61000061035156
2020-07-01,91.02749633789062,237.5500030517578,381.20001220703125,177.42999267578125,1016.6400146484375,115.9000015258789,198.85000610351562,223.92599487304688,30.809999465942383,58.90999984741211
2020-07-02,91.02749633789062,233.4199981689453,384.489990234375,177.2100067138672,1029.969970703125,113.38999938964844,208.88999938964844,241.73199462890625,30.8700008392334,59.959999084472656
2020-07-06,93.4625015258789,240.27999877929688,393.57000732421875,176.17999267578125,986.77001953125,118.97000122070312,218.0,274.3160095214844,32.34000015258789,61.279998779296875
2020-07-07,93.17250061035156,240.86000061035156,394.8699951171875,177.27999877929688,1013.989990234375,125.5999984741211,217.25999450683594,277.97198486328125,32.9900016784668,62.689998626708984
2020-07-08,95.34249877929688,243.5800018310547,408.6400146484375,181.57000732421875,1017.2999877929688,133.35000610351562,224.52999877929688,273.1759948730469,35.40999984741211,63.61000061035156
2020-07-09,95.75250244140625,244.5,420.3599853515625,183.22999572753906,1040.02001953125,129.38999938964844,228.42999267578125,278.8559875488281,35.720001220703125,62.9900016784668
2020-07-10,95.91999816894531,245.07000732421875,419.1700134277344,178.39999389648438,1031.8599853515625,128.0500030517578,228.97999572753906,308.92999267578125,35.400001525878906,62.25
2020-07-13,95.47750091552734,239.0,402.0899963378906,171.50999450683594,968.75,118.6500015258789,218.4499969482422,299.4119873046875,33.81999969482422,58.20000076293945
2020-07-14,97.05750274658203,239.72999572753906,415.0799865722656,172.3000030517578,974.4099731445312,121.23999786376953,209.22000122070312,303.3599853515625,34.380001068115234,57.849998474121094
2020-07-15,97.7249984741211,240.27999877929688,409.0899963378906,172.05999755859375,959.4500122070312,122.19999694824219,221.8300018310547,309.2019958496094,35.66999816894531,59.08000183105469
2020-07-16,96.52249908447266,240.92999267578125,405.3900146484375,169.80999755859375,925.489990234375,119.94999694824219,218.55999755859375,300.12799072265625,35.279998779296875,62.189998626708984
2020-07-17,96.32749938964844,242.02999877929688,408.05999755859375,173.9199981689453,928.1300048828125,120.7300033569336,217.77000427246094,300.1679992675781,35.810001373291016,64.23999786376953
2020-07-20,98.35749816894531,245.4199981689453,420.42999267578125,178.82000732421875,1009.3900146484375,128.38999938964844,227.27000427246094,328.6000061035156,37.060001373291016,66.23999786376953
2020-07-21,97.0,241.75,413.1400146484375,175.5800018310547,952.8300170898438,126.98999786376953,226.66000366210938,313.6719970703125,37.0099983215332,65.0199966430664
2020-07-22,97.27249908447266,239.8699951171875,417.54998779296875,178.4199981689453,957.3300170898438,129.17999267578125,223.97999572753906,318.46600341796875,36.939998626708984,67.4000015258789
2020-07-23,92.84500122070312,232.60000610351562,405.19000244140625,173.86000061035156,928.4099731445312,122.93000030517578,219.8800048828125,302.614013671875,38.439998626708984,65.5
